hydroID,hydroCode,lon,lat,easting,northing,projection,elevation,gw_bore_depth,gw_level,gw_level_std,gw_level_mean_Neil,gw_level_std_Neil,diff
30165385,663800004,138.700189,-29.76873,-303779.7759,6677805.561,54,95.01788,220.98,91.44,0,91.44,,0
30131130,574000022,134.332808,-28.752629,-742156.9643,6752669.516,53,233.1496243,97.54,91.44,0,91.44,,0
30170855,603700124,135.919678,-30.178039,-570065.7651,6609059.42,53,137.41924,99.06,91.44,0,91.44,,0
30064970,564200006,133.6738204,-27.8732784,-818499.7508,6844297.933,53,243.348144,151.25,90.66,0.05,90.66,0.070710678,0
30167275,703900006,140.941322,-29.352183,-88677.36939,6737700.174,54,113.3308867,142.34,90.22,0,90.22,,0
30090366,583900062,134.992109,-29.325147,-670355.8035,6695357.166,53,183.8419837,108,90,0,90,,0
30121327,593800050,135.142586,-29.631103,-652037.944,6662611.007,53,209.886106,105.5,90,0,90,,0
30084380,704000016,140.818484,-28.538476,-105377.0697,6827503.426,54,66.85015388,148.44,89.61,0,89.61,,0
30149150,584000044,134.672977,-28.960399,-706060.7367,6732951.789,53,213.0345014,126.5,89,0,89,,0
30085335,583900058,134.764166,-29.004084,-696551.7353,6729001.286,53,207.0535032,113,88.75,0.25,88.75,0.353553391,0
30154118,574200011,134.464589,-27.952916,-738602.9644,6843835.472,53,218.8133779,121.92,88.39,0,88.39,,0
30065390,603700004,135.668648,-30.129061,-595014.8645,6612109.412,53,175.2809496,97.54,88.09,0,88.09,,0
30077774,593800064,135.144928,-29.627842,-651846.6589,6663000.096,53,206.4066988,103,88,0,88,,0
30091660,574100038,134.419274,-28.251297,-739598.3957,6809863.742,53,211.8050034,221,87,0,87,,0
30135314,574200173,134.311185,-27.774481,-756008.3388,6862271.522,53,237.1142344,118,87,0,87,,0
30151834,593800063,135.139359,-29.626944,-652402.1402,6663044.107,53,208.1448802,105,87,0,87,,0
30181591,593800030,135.244886,-29.876981,-639182.9429,6636109.348,53,206.55948,98.68,86.5,3.3,86.5,4.666904756,0
30119014,583900063,134.977439,-29.242075,-672766.5784,6704517.181,53,201.0679785,116,86.4,0,86.4,,0
30128921,584000004,134.665255,-28.90124,-707524.4716,6739506.59,53,215.0733866,91.44,86.12,0.78,86.12,1.103086579,0
30166780,584000042,134.624913,-28.883905,-711712.6725,6741029.512,53,210.0344153,110,86,0,86,,0
30100730,583900011,134.893847,-29.208936,-681373.0865,6707373.798,53,204.7023964,89.31,85.34,0,85.34,,0
30094421,583900067,134.977644,-29.247103,-672687.7862,6703955.758,53,205.9085584,101,84,0,84,,0
30136747,574000009,134.364819,-28.821093,-738160.8254,6745327.058,53,213.2609376,89.31,83.52,0,83.52,,0
30142968,574000002,134.063061,-28.797493,-768290.3637,6744712.741,53,218.6648,97.84,82.54,1.46,82.54,2.064751801,0
30173327,704000003,140.97514,-28.669426,-89268.6291,6813737.747,54,98.39143718,86.26,82.3,0,82.3,,0
30177510,584500012,134.823564,-26.027642,-723993.8165,7063606.6,53,220.4641123,91.4,82.3,0,82.3,,0
30134563,584000015,134.638415,-28.817418,-711168.5033,6748628.847,53,200.6552778,89,81.99,0,81.99,0,0
30176167,574000008,134.363429,-28.825951,-738239.2688,6744766.953,53,212.9745558,87.78,81.69,1.22,81.69,1.725340546,0
30188771,593800009,135.244886,-29.876981,-639182.9429,6636109.348,53,206.55948,91.44,81.075,1.525,81.075,2.156675683,0
30103749,704000031,140.913993,-28.993529,-93409.3893,6777416.679,54,105.8461013,102,81,0,81,,0
30194044,584600003,134.570552,-25.557266,-754741.465,7114008.014,53,253.185204,132.28,80.77,0,80.77,,0
30094751,703900007,140.879003,-29.152747,-95905.88254,6759545.817,54,102.7347859,89.92,80.16,0,80.16,,0
30108353,583900061,134.971862,-29.313808,-672476.879,6696420.603,53,191.5466551,104,80,0,80,,0
30071708,573900035,134.440146,-29.032054,-728164.211,6722456.533,53,190.9195546,91.74,79.86,0,79.86,,0
30181358,593800010,135.345494,-29.871692,-629425.9249,6637714.934,53,201.9825958,89.47,80.485,3.065,79.61333333,3.416669919,0.871666667
30064743,603700040,135.803806,-30.36813,-579203.9716,6586681.841,53,171.5390399,80.77,79.55,0,79.55,,0
30187440,704000007,140.6627779,-28.655912,-119965.5394,6813649.029,54,51.594972,109.73,79.25,0,79.25,,0
30152016,574100014,134.379214,-28.133982,-744974.4712,6822613.938,53,215.8356128,91.44,79.19666667,5.037925058,79.19666667,6.170172877,0
30101050,574100001,134.478464,-28.005813,-736600.8375,6838041.051,53,202.1641817,94.49,78.485,2.285,78.485,3.23147799,0
30167081,574100015,134.394062,-28.183009,-742915.5725,6817265.412,53,211.1024215,85.34,77.725,1.525,77.725,2.156675683,0
30131057,603800014,135.9019217,-29.9599357,-574189.0641,6633283.902,53,129.1864985,133.88,85.44,3.14,77.47333333,14.15142867,7.966666667
30089721,574300031,134.392121,-27.075364,-756014.5008,6941643.379,53,220.7578014,122,76.5,0,76.5,,0
30062763,574000001,134.028545,-28.796004,-771723.6706,6744501.527,53,221.8492722,97.23,76.45,0.55,76.45,0.777817459,0
30083652,574300011,134.365966,-27.364973,-755308.398,6908840.127,53,256.7061758,201.17,76.2,0,76.2,,0
30153104,583700045,134.923226,-30.017502,-668902.0901,6617063.099,53,171,96.93,76.2,0,76.2,,0
30161209,704000023,140.549251,-28.644127,-131168.0685,6814360.913,54,46.12138383,106.68,76,0,76,,0
30077171,704000008,140.852777,-28.985227,-99438.49599,6778028.615,54,94.45471088,81.69,75.59,0,75.59,0,0
30192944,704100276,140.939432,-28.355668,-94535.28066,6848425.791,54,86.43969659,99.06,75.59,0,75.59,,0
30190466,703900010,140.920576,-29.002407,-92715.29628,6776463.34,54,110.2869212,86.26,75.585,0.005,75.585,0.007071068,0
30177408,603700072,135.630729,-30.096925,-599065.8302,6615333.676,53,181.6569601,99.06,75.3,0,75.3,,0
30072067,593800205,135.345546,-29.871628,-629421.5869,6637722.621,53,201.976888,83,73,0,75.185,3.090056634,2.185
30126196,574000023,134.386355,-28.686361,-737660.3204,6760678.901,53,247.7212205,122,75,0,75,,0
30094269,584000020,134.761018,-28.993501,-696986.8846,6730155.397,53,190.6826677,96.01,74.98,0,74.98,,0
30126811,704000005,140.906625,-28.896965,-94683.67652,6788110.213,54,92.204444,97.54,74.98,0,74.98,,0
30148292,574000012,134.491853,-28.904417,-724604.4507,6737327.55,53,204.3120966,86,74.68,0,74.68,0,0
30180727,703800004,140.90072,-29.605248,-91151.29221,6709371.898,54,93.32317747,106.7,74.66666667,0.047140452,74.66666667,0.057735027,0
30136125,574000057,134.392635,-28.97976,-733486.2292,6727817.259,53,202.3587266,100,74.4,0,74.4,,0
30073477,703900001,140.835652,-29.405189,-98652.92441,6731269.515,54,102.8737145,97.54,74.37,0.61,74.37,0.862670273,0
30187554,593800015,135.453096,-29.967073,-617838.6754,6628111.449,53,196.1989847,78.64,74.37,0,74.37,,0
30177044,574000031,134.37633,-28.985777,-735021.8796,6726967.5,53,198.4795178,100,73.425,0.075,73.425,0.106066017,0
30101277,704000002,140.97514,-28.669426,-89268.6291,6813737.747,54,98.39143718,335.28,73.15666667,13.16516194,73.15666667,16.12396457,0
30124483,694400005,140.464062,-26.647481,-151324.3483,7035897.801,54,64.71574191,570.59,73.15,0,73.15,,0
30138392,583900009,134.819442,-29.10682,-689895.2578,6718054.048,53,193.7347601,75.9,73.15,0,73.15,,0
30184221,593800011,135.246184,-29.907066,-638706.8524,6632753.438,53,199.77832,84.53,72.85,0,72.85,,0
30174207,603700114,135.599843,-30.015858,-602987.4515,6624102.066,53,191.3581588,76.36,72.81,0,72.81,,0
30175155,584200001,134.698339,-27.610933,-719206.8545,6884620.045,53,208.5443804,244.14,72.72,0.43,72.72,0.608111832,0
30097297,603700136,135.600412,-30.016974,-602919.438,6623982.767,53,191.2597233,79,72.7,0,72.7,,0
30089717,603700134,135.889594,-30.311392,-571513.5612,6593856.693,53,155.7623702,103,72,0,72,,0
30178748,593800012,135.369947,-29.932435,-626341.9017,6631159.112,53,194.0646456,81.5,71.95,2.61629509,71.95,3.204293994,0
30179737,584000003,134.540703,-28.921742,-719573.8653,6735900.025,53,196.1975343,79.25,72.75,0,71.74,0.446989933,1.01
30134835,603700120,135.766458,-30.249358,-584158.3428,6599604.741,53,165.6579382,77.29,71.72,0,71.72,,0
30094268,583900068,134.734657,-29.022162,-699246.9711,6726667.638,53,223.9665418,622.71,71.322,1.577788325,71.322,1.764020975,0
30137701,704300024,140.823756,-27.338027,-111624.1826,6960945.456,54,104.6139433,213.97,70.71,0,70.71,,0
30158984,603700121,135.788283,-30.075229,-583979.0534,6619295.592,53,156.54508,116.28,70.56,0,70.56,,0
30106305,584000028,134.77416,-28.983287,-695811.5243,6731436.933,53,179.2988622,89.9,70.55,0.15,70.55,0.212132034,0
30175135,574000006,134.239702,-28.832349,-750391.4111,6742719.645,53,203.544428,75.59,70.255,0.155,70.255,0.219203102,0
30081895,603700129,135.658596,-30.130133,-595980.458,6611891.065,53,177.5287101,76.2,70,0,70.1,0.141421356,0.1
30144769,613700033,136.049955,-30.212761,-557030.4058,6606415.7,53,126.3542326,92.66,70.1,0,70.1,,0
30177902,593800061,135.126208,-29.501752,-655144.458,6676935.251,53,168.5886364,84,69.6,0,69.6,,0
30091027,603700135,135.531939,-30.030354,-609436.2649,6621810.424,53,190.7127602,75.7,69,0,69.59,0.834386002,0.59
30116416,593800008,135.231919,-29.854036,-640715.0738,6638547.645,53,194.67624,76.2,68.88,0,68.88,,0
30121507,704100030,140.883385,-28.125606,-101341.3881,6873713.473,54,89.58512,173.74,68.88,0,68.88,,0
30067539,704100134,140.855045,-28.082195,-104378.2183,6878396.511,54,78.06709764,103.63,67.06,0,67.06,,0
30108365,674300009,139.397493,-27.122688,-254765.8084,6977057.509,54,79.48790485,116.73,67.05,0,67.05,,0
30131770,683700087,139.608112,-30.173731,-212669.2722,6638774.448,54,75.57968,117,67,0,67,,0
30097303,593800204,135.372932,-29.932136,-626054.2578,6631222.481,53,194.1621044,75.5,60,0,66.74,5.840436628,6.74
30112409,704000004,140.854062,-28.859577,-100040.158,6791998.874,54,85.85972991,81.69,66.45,0.61,66.45,0.862670273,0
