X,Y,RechargeRates,
71432.3566294626,7852179.20193953,15.48230000
61044.5602642746,7846382.98461013,14.74207000
66304.2518058824,7846510.04174928,15.11562000
71563.6839366324,7846635.55782838,15.73077000
50662.5466463767,7840579.48006908,13.79919000
55921.1389628291,7840709.90217099,14.04037000
61179.4660110533,7840838.77902843,14.82657000
66437.5309434957,7840966.11107352,15.28415000
71695.3369120464,7841091.89873314,16.01185000
76952.8870680275,7841216.14242895,17.28730000
45543.8198581536,7834902.44897838,13.50239000
50801.048597606,7835034.70124476,13.71006000
56058.009380102,7835165.40450689,13.99361000
61314.7053531337,7835294.55920272,15.17491000
66571.1396636264,7835422.16576497,15.86732000
71827.315457953,7835548.2246211,16.90306000
77083.2358819216,7835672.73619336,17.79381000
82338.9040808048,7835795.70089874,19.75764000
45684.2993415201,7829357.37259399,13.37004000
50939.8920688998,7829489.90893904,13.63671000
56195.2173043945,7829620.89296221,14.00860000
61450.2781899635,7829750.32510203,14.51571000
66705.0778670019,7829878.20579182,16.14425000
71959.6194763565,7830004.53545963,17.41570000
77213.906158312,7830129.31452827,18.54521000
82467.9410526209,7830252.54341533,20.95840000
87721.727298488,7830374.22253315,22.02328000
92975.2680345978,7830494.35228885,23.10593000
45825.1242541128,7823812.28310383,12.93369000
51079.0769568819,7823945.1031227,13.49672000
56332.7626336191,7824076.36750685,13.90898000
61586.1844207412,7824206.07669541,14.48845000
66839.3454541038,7824334.23112229,16.49633000
72092.2488690182,7824460.83121611,18.10782000
77344.8978002368,7824585.87740027,21.27529000
82597.2953819835,7824709.37009292,24.95071000
87849.4447479369,7824831.30970697,26.45098000
93101.3490312595,7824951.69665008,28.07326000
98353.011364586,7825070.53132468,30.91415000
45966.2944910052,7818267.18047956,12.73729000
51218.6031579204,7818400.28376653,13.33745000
56470.6452654356,7818531.82811076,13.84443000
61722.4239444148,7818661.81395196,14.57155000
66973.9423251661,7818790.24172463,17.88190000
72225.2035374552,7818917.11185799,21.00546000
77476.2107104938,7819042.42477598,23.64118000
82726.966972967,7819166.18089734,28.01130000
87977.4754530196,7819288.38063551,29.68210000
93227.739278282,7819409.02439873,31.65802000
98477.7615758607,7819528.11258997,33.58110000
56608.8650972507,7812987.27474391,13.79216000
61858.9966596834,7813117.53684082,14.84652000
67108.8683801761,7813246.23756717,19.72178000
72358.4833829412,7813373.37735274,24.11692000
77607.8447916398,7813498.95662208,27.55672000
82856.9557294096,7813622.97579444,30.12728000
88105.8193188516,7813745.43528386,34.07742000
93354.438682056,7813866.3354991,42.29272000
98602.8169405921,7813985.67684368,44.51652000
103850.957215521,7814103.45971586,47.36713000
61995.9024649951,7807573.24533118,15.33381000
67244.1235188746,7807702.21861825,19.64930000
72492.0883065063,7807829.62766791,44.39042000
77739.7999459913,7807955.47290527,44.97523000
82987.2615549116,7808079.75475015,44.15126000
88234.4762503149,7808202.47361713,46.47029000
93481.4471487421,7808323.62991553,48.87152000
98728.1773662158,7808443.22404938,51.21762000
103974.670018254,7808561.2564175,54.12596000
67379.7076407562,7802158.18484626,18.55881000
72626.0182089371,7802285.86277106,52.80721000
77872.0760756247,7802411.97359232,48.63133000
83117.8843528358,7802536.51773043,47.96924000
88363.4461520563,7802659.49560051,51.86325000
93608.7645842684,7802780.9076124,54.63110000
98853.8427599394,7802900.7541707,57.05888000
104098.683789035,7803019.03567473,59.15166000
67515.6206450684,7796614.13621964,15.48904000
72760.2729907769,7796742.08262981,30.77169000
78004.6730823759,7796868.45865005,38.34488000
83248.8240263083,7796993.26470129,38.60168000
88492.7289284891,7797116.5011992,46.65676000
93736.3908943328,7797238.16855416,53.43686000
98979.8130287424,7797358.2671713,53.41232000
104222.998436123,7797476.79745048,54.02209000
109465.950220396,7797593.75978627,63.31187000
62408.6174019335,7790940.28410367,9.52638100
67651.8624308124,7791070.07270688,11.17059000
72894.8525523248,7791198.28721183,14.05211000
78137.5908678401,7791324.9280453,25.33208000
83380.0804782177,7791449.99562878,34.01195000
88622.3244837924,7791573.49037848,42.33962000
93864.3259844022,7791695.4127053,44.38416000
99106.0880793768,7791815.76301492,40.85580000
104347.613867552,7791934.54170769,40.20524000
109588.906447281,7792051.74917873,54.19456000
114829.968916427,7792167.38581787,67.43533000
120070.804372387,7792281.45200969,78.98225000
67788.4328967424,7785525.99427649,10.31256000
73029.756793638,7785654.47648482,12.48703000
78270.8293333732,7785781.38174499,23.28576000
83511.6536112153,7785906.71047902,31.47450000
88752.2327219106,7786030.46310366,39.29875000
93992.5697597119,7786152.64003037,33.08789000
99232.6678183664,7786273.24166531,15.46241000
104472.52999113,7786392.26840939,13.80067000
109712.159370782,7786509.72065822,16.56627000
114951.559049612,7786625.59880214,48.17903000
120190.732119447,7786739.90322622,79.17905000
67925.3319413675,7779981.90089706,9.82555000
73164.9856145293,7780110.65041654,11.98005000
78404.3883800898,7780237.81971604,23.65817000
83643.5433277154,7780363.40921814,33.36296000
88882.453546555,7780487.41934011,42.89063000
94121.1221252669,7780609.85049394,32.01575000
99359.5521520071,7780730.70308631,8.21936600
104597.746714444,7780849.97751865,6.67110400
109835.708899772,7780967.67418707,7.98046800
115073.441794698,7781083.79348242,38.96012000
120310.948485472,7781198.33579026,74.68794000
78538.2679088652,7774694.24192547,25.54193000
83775.7495298957,7774820.09181235,37.68631000
89012.9868612026,7774944.35905324,51.22764000
94249.9829858408,7775067.04406066,33.54740000
99486.7409863669,7775188.1472418,4.27101200
104723.263944852,7775307.66899859,3.05506800
109959.554942897,7775425.60972766,3.46429200
94379.1522459773,7769524.22069521,15.45098000
